Rc1	OUT#14064	OUT#8166	-19.88,1.35 	-19.88,-3.1
Rc2	OUT#8166	OUT#8167	-19.88,-3.1 	-19.8795,-8.3495
Rc9	OUT#8167	OUT#8174	-21.3195,-8.3495 	-21.32,-3.1
Rc10	OUT#8174	OUT#14074	-21.32,-3.1 	-21.32,1.35
Rc11	OUT#8167	OUT#3	-22.7595,-8.3495 	-22.76,-3.1
Rc12	OUT#3	OUT#14076	-22.76,-3.1 	-22.76,1.35
Rc13	OUT#8167	OUT#8179	-24.1995,-8.3495 	-24.2,-3.1
Rc14	OUT#8179	OUT#14078	-24.2,-3.1 	-24.2,1.35
Rc15	OUT#14079	OUT#8182	-19.88,-10.35 	-19.88,-14.8
Rc16	OUT#8182	OUT#8183	-19.88,-14.8 	-19.8795,-20.0495
Rc23	OUT#8183	OUT#8190	-21.3195,-20.0495 	-21.32,-14.8
Rc24	OUT#8190	OUT#14089	-21.32,-14.8 	-21.32,-10.35
Rc25	OUT#8183	OUT#3	-22.7595,-20.0495 	-22.76,-14.8
Rc26	OUT#3	OUT#14091	-22.76,-14.8 	-22.76,-10.35
Rc27	OUT#8183	OUT#8195	-24.1995,-20.0495 	-24.2,-14.8
Rc28	OUT#8195	OUT#14093	-24.2,-14.8 	-24.2,-10.35
Rc29	VDDHV#13569	VDDHV#177	-24.92,-7.55 	-24.92,-3.1
Rc33	VDDHV#177	VDDHV#7805	-23.4795,2.15 	-23.48,-3.1
Rc34	VDDHV#7805	VDDHV#13575	-23.48,-3.1 	-23.48,-7.55
Rc38	VDDHV#177	VDDHV#13579	-22.04,-3.1 	-22.04,-7.55
Rc40	VDDHV#177	VDDHV#7800	-20.5995,2.15 	-20.6,-3.1
Rc41	VDDHV#7800	VDDHV#13582	-20.6,-3.1 	-20.6,-7.55
Rc43	VDDHV#13584	VDDHV#177	-24.92,-19.25 	-24.92,-14.8
Rc47	VDDHV#177	VDDHV#7822	-23.4795,-9.5495 	-23.48,-14.8
Rc48	VDDHV#7822	VDDHV#13590	-23.48,-14.8 	-23.48,-19.25
Rc52	VDDHV#177	VDDHV#13594	-22.04,-14.8 	-22.04,-19.25
Rc54	VDDHV#177	VDDHV#7817	-20.5995,-9.5495 	-20.6,-14.8
Rc55	VDDHV#7817	VDDHV#13597	-20.6,-14.8 	-20.6,-19.25
Rc57	OUT#14094	OUT#8198	-13.84,1.35 	-13.84,-3.1
Rc58	OUT#8198	OUT#8199	-13.84,-3.1 	-13.8395,-8.3495
Rc65	OUT#8199	OUT#8206	-15.2795,-8.3495 	-15.28,-3.1
Rc66	OUT#8206	OUT#14104	-15.28,-3.1 	-15.28,1.35
Rc67	OUT#8199	OUT#3	-16.7195,-8.3495 	-16.72,-3.1
